"","year","papers","patents","cumulative_papers","cumulative_patents"
"1",1964,2,NA,2,NA
"2",1965,15,NA,17,NA
"3",1966,49,NA,66,NA
"4",1967,53,NA,119,NA
"5",1968,89,NA,208,NA
"6",1969,79,NA,287,NA
"7",1970,75,NA,362,NA
"8",1971,121,NA,483,NA
"9",1972,169,NA,652,NA
"10",1973,282,NA,934,NA
"11",1974,429,NA,1363,NA
"12",1975,479,NA,1842,NA
"13",1976,602,NA,2444,NA
"14",1977,717,NA,3161,NA
"15",1978,743,10,3904,NA
"16",1979,798,7,4702,NA
"17",1980,910,13,5612,NA
"18",1981,1096,15,6708,NA
"19",1982,1137,18,7845,NA
"20",1983,1334,15,9179,NA
"21",1984,1583,23,10762,NA
"22",1985,1838,18,12600,NA
"23",1986,2285,28,14885,NA
"24",1987,3021,53,17906,NA
"25",1988,3793,61,21699,NA
"26",1989,4670,93,26369,NA
"27",1990,5731,72,32100,NA
"28",1991,6491,106,38591,NA
"29",1992,7674,112,46265,NA
"30",1993,8752,153,55017,NA
"31",1994,10224,173,65241,NA
"32",1995,11164,211,76405,NA
"33",1996,13481,373,89886,NA
"34",1997,13576,594,103462,NA
"35",1998,13535,931,116997,NA
"36",1999,13224,1081,130221,NA
"37",2000,13583,912,143804,NA
"38",2001,13903,1051,157707,NA
"39",2002,13700,875,171407,NA
"40",2003,14006,787,185413,NA
"41",2004,14944,673,200357,NA
"42",2005,15594,574,215951,NA
"43",2006,16081,765,232032,NA
"44",2007,16745,619,248777,NA
"45",2008,17319,632,266096,NA
"46",2009,17706,723,283802,NA
"47",2010,17982,1007,301784,NA
"48",2011,18716,1049,320500,NA
"49",2012,19975,1175,340475,NA
"50",2013,20799,1154,361274,NA
"51",2014,21236,1249,382510,NA
"52",2015,21933,1321,404443,NA
"53",2016,21865,1355,426308,NA
"54",2017,21984,1507,448292,NA
"55",2018,24091,1546,472383,NA
"56",2019,26398,1804,498781,NA
"57",2020,28119,1899,526900,NA
