"model","estimate","std.error","statistic","p.value","conf.low","conf.high","conf_int","ctry_name","term"
"Semiconductors",0.000277320426705489,0.000284468715822011,0.974871440271152,0.329624034397259,-0.000280228011034012,0.000834868864444991,0.000557548437739502,"United States","US"
"Information & Communication Technology",0.000335978055002317,6.91538066851259e-05,4.85841736134796,1.18327776879271e-06,0.000200439084505624,0.000471517025499009,0.000135538970496692,"United States","US"
"Computer Technology",0.000479797730853555,6.52448002031472e-05,7.35380795649078,1.92638451123739e-13,0.000351920272276875,0.000607675189430235,0.00012787745857668,"United States","US"
"Overall",0.0007325058667663,5.97043346265941e-05,12.2688892079206,1.33066308946606e-34,0.000615487521177248,0.000849524212355352,0.000117018345589052,"United States","US"
"Engines, Turbines, Thermal & Environmental Technologies",0.000888435330432449,0.000199329460090465,4.45712003649253,8.30680938495633e-06,0.000497756767597324,0.00127911389326757,0.000390678562835125,"United States","US"
"Instruments",0.00125904449956172,0.000219716869694544,5.73030419244585,1.00250690902748e-08,0.000828407348164537,0.00168968165095891,0.000430637151397186,"United States","US"
"Electrical & Audiovisual Technologies",0.00135031904813115,0.000148999422182032,9.06257909162544,1.27401854096974e-19,0.00105828554693709,0.00164235254932522,0.000292033501194061,"United States","US"
"Machines & Mechanical Engineering",0.00243281680303583,0.000574753775242493,4.23279830047119,2.30801482668658e-05,0.00130632010358211,0.00355931350248954,0.00112649669945371,"United States","US"
"Medical Technology",0.00245502433294015,0.000529790126798228,4.63395637018949,3.58742633815733e-06,0.00141665476505071,0.00349339390082958,0.00103836956788943,"United States","US"
"Pharmaceuticals & Biotechnology",0.00251769248880082,0.000639771468048916,3.93529973519907,8.30929277756876e-05,0.00126376345308862,0.00377162152451301,0.00125392903571219,"United States","US"
"Electrical Machinery",0.00255160388816814,0.000338260342326834,7.54331374058249,4.58177068816431e-14,0.00188862579980936,0.00321458197652693,0.000662978088358784,"United States","US"
"Chemistry & Materials",0.00264470425475948,0.000508524490557988,5.20074117149703,1.98495366530102e-07,0.00164801456800924,0.00364139394150971,0.000996689686750235,"United States","US"
"Transport",0.00367107096670536,0.000500082613766544,7.34092900981985,2.12116303320906e-13,0.00269092705442828,0.00465121487898244,0.000980143912277081,"United States","US"
"Consumer Goods & Civil Engineering",0.00466164377615834,0.000771836121282926,6.03968076592461,1.54419431006426e-09,0.00314887277647671,0.00617441477583996,0.00151277099968162,"United States","US"
